id,categoria,nome_local,endereco_regiao,latitude,longitude,contexto_socioeconomico_rag
1,Mercado,Supermercado Alvorada - Loja 1,Rua Sete de Setembro - Centro,-21.67502,-45.91917,"Supermercado tradicional e pioneiro de grande porte no coração comercial de Machado. Zona de altíssimo fluxo de pedestres e veículos. Atrai consumidores de todas as classes sociais da cidade e da zona rural. Alta saturação de comércio varejista num raio de 300 metros."
2,Mercado,Supermercados BH,Av. Artur Bernardes - Centenário,-21.67873,-45.92310,"Unidade de grande rede varejista (franquia/redes) focada em preço baixo e modelo de atacarejo. Localizada em uma das principais avenidas de escoamento e acesso a bairros residenciais populosos. Zona de tráfego veicular intenso. Concorrência direta forte para pequenos mercados de bairro na região sul."
3,Academia,Academia Oficina do Corpo,Rua Francisco Carvalho de Alvarenga - Centro,-21.67134,-45.91722,"Estabelecimento tradicional focado em fitness e musculação em região central. Atende um público misto de estudantes, trabalhadores do comércio e moradores locais. Fácil acesso a pé para quem está no miolo urbano da cidade."
4,Regiao_Social,Prainha (Complexo Lago do Parque),Av. Dr. Lindolfo de Souza Dias - Parque de Exposições,-21.67115,-45.92842,"Principal área de lazer, caminhada e eventos de Machado ao ar livre. Grande concentração de pessoas (famílias e jovens) principalmente no fim da tarde e finais de semana. Ponto altamente estratégico para negócios de alimentação de impulso, como sorvete, açaí, petiscos e entretenimento rápido."
5,Regiao_Social,Praça Antonio Carlos (Praça da Matriz),Praça Antonio Carlos - Centro,-21.67485,-45.92012,"Marco zero da cidade. Concentra agências bancárias, lojas de departamento (como Magazine Luiza), igrejas, cartórios e o comércio tradicional de Machado. Fluxo contínuo de pessoas durante o horário comercial. Excelente localização para franquias de conveniência."
6,Ensino_Demografia,Polo Universitário UNIFENAS,Rua Professor José Neves - Jardim Centenário,-21.67980,-45.92150,"Região com forte presença de estudantes universitários, repúblicas e pensionatos. Demografia jovem com padrão de consumo voltado para alimentação rápida, lanchonetes de baixo custo, copiadoras e conveniências. Apresenta sazonalidade de movimento durante as férias escolares."
7,Comercio_Franquia,Chiquinho Sorvetes,Rua Bento de Oliveira - Centro,-21.67432,-45.91978,"Franquia de alimentação e sobremesas localizada na calçada/rua de pedestres mais movimentada do Centro. Alto faturamento baseado em compras por impulso e fluxo escolar. Satura o mercado local de sobremesas geladas num raio de 200m."
8,Comercio_Franquia,Cacau Show,Rua Coronel Carlos Oliveira - Centro,-21.67490,-45.92055,"Loja de chocolates fina (franquia de rede nacional) bem posicionada na zona comercial central. Fluxo de clientes constante com picos sazonais extremos (Páscoa e Natal). Excelente indicador de viabilidade para outras franquias de presentes ou perfumaria fina na mesma calçada."
9,Eventos,Praça São Benedito,Largo de São Benedito - Centro,-21.67261,-45.92080,"Espaço urbano que sedia a tradicional Festa de São Benedito (Congo). Durante o período do evento (agosto), a região sofre uma alteração socioespacial massiva, atraindo milhares de turistas e gerando alta demanda temporária para comércio ambulante, alimentação e bebidas."
10,Imoveis_Fluxo,Av. Ricardo Anoni Filho,Av. Ricardo Anoni Filho - Santa Luíza,-21.68110,-45.93220,"Vetor de expansão imobiliária residencial de médio e alto padrão em Machado. Região com novos condomínios e residências de famílias de maior poder aquisitivo. Demanda crescente e ainda carente por comércio de proximidade qualificado, como padarias artesanais e drogarias modernas."
11,Logistica_Transporte,Terminal Rodoviário de Machado,Rua João Carlos de Oliveira - Centro,-21.67180,-45.91890,"Ponto central de transporte municipal e intermunicipal. Fluxo diário e constante de trabalhadores, estudantes e viajantes. Área propícia para o comércio de conveniência de giro rápido, bancas de jornal, lanchonetes tradicionais e serviços de recarga/telefonia."
12,Doces_Industria,Fábrica Reserva de Minas (Sede/Loja),Rodovia BR-267 - Distrito Industrial,-21.66110,-45.89950,"Grande indústria de doces tradicionais, geleias e doce de leite de destaque nacional. A loja de fábrica atrai fluxo de turistas que passam pela rodovia. Funciona como um polo gerador de tráfego periférico e valida a força do setor de doces e agronegócio na identidade da cidade."
13,Mercado,Supermercado Alvorada - Loja 2,Av. Ricardo Anoni Filho - Santa Luíza,-21.68230,-45.93150,"Segunda unidade da rede local, implantada estrategicamente para atender ao vetor de crescimento imobiliário de alto padrão da cidade. Reduz a necessidade de moradores da região sul se deslocarem até o Centro. Concorrência moderada."
14,Academia,Academia Performance Fit,Av. Artur Bernardes - Vila Centenário,-21.67790,-45.92210,"Academia de médio-grande porte localizada em corredor comercial importante. Atrai público que busca facilidade de estacionamento de veículos e motos, algo escasso no miolo do Centro. Concorre indiretamente com as academias centrais."
15,Sorveteria,Sorveteria Sabor de Verão,Rua Sete de Setembro - Centro,-21.67540,-45.91890,"Sorveteria de fabricação artesanal e local. Atende famílias tradicionais e o público infantil. Localizada a menos de 150 metros da franquia Chiquinho Sorvetes, servindo de barômetro para estratégias de diferenciação por preço e volume (potes e self-service)."
16,Comercio_Franquia,O Boticário,Rua Coronel Carlos Oliveira - Centro,-21.67480,-45.92040,"Franquia nacional líder no segmento de perfumaria e cosméticos. Situada no trecho comercial mais nobre de Machado, dividindo calçada com bancos e lojas de calçados. Ponto comercial com valor de luvas e aluguel elevados."
17,Farmacia,Drogaria Nova Faria,Praça Antônio Carlos - Centro,-21.67470,-45.91990,"Farmácia com forte presença regional inserida no miolo financeiro da cidade. Atendimento voltado para o fluxo que sai de consultas médicas e agências bancárias. Alta densidade de concorrência de farmácias no mesmo quarteirão."
18,Ponto_Onibus,Parada de Ônibus Central - Praça da Matriz,Praça Antônio Carlos - Centro,-21.67450,-45.92030,"Principal nó de transporte urbano circular da cidade. Conecta todas as linhas de bairros periféricos ao Centro. Área de altíssimo tráfego de pedestres nas primeiras horas da manhã e fim de tarde. Ideal para comércio popular de alimentos e serviços expressos."
19,Doces_Cafeteria,Doces e Cafeteria Sabor de Minas,Rua Bento de Oliveira - Centro,-21.67410,-45.91960,"Cafeteria focada em cafés especiais locais do Sul de Minas e doces finos caseiros. Atrai público de negócios e terceira idade para reuniões durante a tarde. Próxima à rua de pedestres."
20,Academia,CrossFit Machado,Rua João Evangelista Dias - Jardim das Oliveiras,-21.68410,-45.92120,"Box de treinamento funcional de alta intensidade focado no público jovem e de classe média-alta. Localizado em um galpão amplo fora do Centro, validando a tendência de migração de serviços fitness para áreas com maior espaço físico."
21,Mercado,Mini Mercado e Mercearia Central,Rua Coronel Jacinto - Centro,-21.67360,-45.92150,"Comércio de proximidade com foco em compras rápidas de reposição diária (hortifrúti, padaria e açougue). Sobrevive à proximidade dos grandes supermercados devido ao atendimento rápido sem filas."
22,Comercio_Franquia,CVC Viagens,Rua Sete de Setembro - Centro,-21.67520,-45.91930,"Franquia de serviços de turismo. Mostra o potencial de consumo de classes média e média-alta da cidade para gastos de lazer não-essenciais. Localização centralizada para garantir visibilidade de vitrine."
23,Sorveteria,Açaí e Sorvetes Prainha,Av. Dr. Lindolfo de Souza Dias - Parque de Exposições,-21.67150,-45.92790,"Ponto comercial de alta performance sazonal diária. Registra picos de faturamento das 16h às 21h e aos finais de semana, impulsionado pelas atividades físicas e de lazer no Lago do Parque."
24,Ponto_Onibus,Ponto de Ônibus - Acesso UNIFENAS,Av. Artur Bernardes - Jardim Centenário,-21.67930,-45.92250,"Abrigo de passageiros que atende o fluxo de estudantes universitários e moradores do bairro Centenário. Ponto de interesse para campanhas de marketing local e pequenos negócios de salgados/lanches rápidos."
25,Imoveis_Fluxo,Distrito Industrial de Machado,Margens da Rodovia BR-267,-21.65800,-45.89500,"Polo concentrador de grandes indústrias da cidade (como GIROAgro e cooperativas cafeeiras). Zona de alto tráfego de caminhões e trabalhadores industriais. Demanda específica para restaurantes de refeições comerciais (Marmitarias), oficinas pesadas e postos de combustível."
26,Mercado,Sacolão Hortifrúti Real,Rua Major Onofre - Centro,-21.67610,-45.91810,"Varejo especializado em frutas, legumes e verduras frescas. O público prefere este formato especializado em vez das seções de hortifrúti dos grandes supermercados devido à percepção de produtos mais frescos e direto do produtor rural local."
27,Comercio_Franquia, Cacau Show - Unidade Quiosque (Simulado),Av. Dr. Lindolfo de Souza Dias - Prainha,-21.67130,-45.92820,"Ponto estratégico simulado para validação do GeoGap. Analisa a viabilidade de um segundo ponto da franquia de chocolates fora do Centro, aproveitando o fluxo de lazer da Prainha, distante 1.1km da loja central."
28,Doces_Comercio,Lojas de Doces e Embalagens Machado,Rua Tiradentes - Centro,-21.67650,-45.91990,"Comércio atacadista e varejista de doces industriais, artigos de festa e embalagens. Atende doceiras autônomas da cidade e pequenos comerciantes. Localização de fácil carga e descarga."
29,Academia,Academia Feminina Up,Rua Irmão José Gregório - Jardim Nova Machado,-21.66920,-45.91310,"Nicho especializado de mercado fitness focado exclusivamente no público feminino de bairro residencial. Baixa concorrência direta no setor e boa fidelização de clientes num raio residencial de 1km."
30,Agro_Comercio,Sede Cooperativa Coopama,Rua Francisco Carvalho de Alvarenga - Centro,-21.67190,-45.91680,"Grande polo gerador de movimentação financeira e comercial em Machado. Reúne produtores rurais de café de toda a região para negócios. Negócios de alimentação, serviços e revendas localizados no entorno deste ponto se beneficiam do fluxo de capital do agronegócio."
